10000001	ちっぽけな勇気	FUNKY MONKEY BABYS	1	5	7
10000002	風になりたい	THE BOOM	2	3	5
10000003	気分上々↑↑	mihimaru GT	3	4	5
10000004	PLAY THE GAME	ロードオブメジャー	1	5	7
10000005	一色	 	2	4	7
10000006	粉雪	 	3	4	6
10000007	Love so sweet	 	2	4	6
10000008	全力少年	 	2	5	6
10000009	抱いてセニョリータ	 	2	4	6
10000010	キューティーハニー	 	3	5	6
10000011	ふがいないや	 	2	5	7
10000012	こんなに近くで...	 	2	3	5
10000013	POP STAR	 	1	4	7
10000014	天体観測	 	2	4	5
10000015	endscape	 	2	5	6
10000016	負けないで	 	3	4	5
10000017	My Love	川嶋あい	2	4	6
10000018	Good bye little girl	Mi	1	3	4
10000019	A Perfect Sky	 	3	5	7
10000020	シャナナ☆	M NMI	2	5	6
10000021	SPEED KING	 	3	6	7
10000022	Real voice	 	3	4	5
10000023	魁！ミッドナイト	RIKI	3	5	6
10000024	FREE FREE	鈴木亜美 joins 中田ヤスタカ(capsule)	3	4	6
10000025	冒険者たち	Do As Infinity	2	4	6
10000026	キスしてほしい	 	3	5	7
10000027	光のロック	 	2	4	8
10000028	BELIEVE IN LOVE	 	3	4	6
10000029	BLOOD on FIRE	AAA	3	4	6
10000030	BLUE BIRD	 	2	4	6
10000031	I my me mine	 	3	6	8
10000032	太陽の地図	 	3	4	5
10000033	PEACH	 	2	4	6
10000034	YELL 〜エール〜	 	2	5	6
10000035	rose	ANNA inspi' NANA(BLACK STONES)	1	4	7
10000036	bass 2 bass	Ryu☆	5	6	8
10000037	天国と地獄	Mutsuhiko Izumi	3	8	9
10000038	GIGA BREAK	96	6	7	10
10000039	Icicles	Jimmy Weckl	4	6	8
10000040	Jumping Boogie	Kozo Nakamura	5	7	8
10000041	Snow Goose	Mutsuhiko Izumi	5	7	8
10000042	Polaris	Mutsuhiko Izumi	2	5	8
10000043	Happy Happy	ki☆ki	2	5	8
10000044	I love マミー	荒牧陽子	4	5	8
10000045	Chance and Dice	日本少年	5	6	8
10000046	Y.M.C.A.	VILLAGE PEOPLE	2	5	7
10000047	I'M IN THE MOOD FOR DANCING	 	2	4	6
10000048	Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John	4	5	7
10000050	Kiss Kiss	Chris Brown featuring T-Pain	2	3	6
10000051	IN THE NAME OF LOVE	Y& Co.feat.Erica	6	7	9
10000052	Special One	kors k feat. Suzuyo Miyamoto	4	5	7
10000053	Sandstorm	 	2	6	8
10000062	Crosswind	Mutsuhiko Izumi	3	7	9
10000064	あいのうた	肥塚良彦	3	4	7
10000065	Evans	DJ YOSHITAKA	6	8	10
10000066	In Scottish Highlands	Thomas Howard Lichtenstein	4	7	9
10000067	SigSig	kors k	6	8	9
10000068	凛として咲く花の如く	紅色リトマス	4	7	9
10000069	TRUE?LOVE	jun feat. Schanita	3	7	9
10000070	Slang	Kozo Nakamura	4	7	9
20000001	ロボットハニー	Aira Mitsuki	1	5	8
20000002	情熱大陸	 	2	7	9
20000003	にんげんっていいな	ガガガSP	3	4	7
20000004	Musical Messenger	九州男	3	6	8
20000006	今	ET-KING	3	5	8
20000007	Kiss & Ride	中塚武	3	7	9
20000008	愛 NEED	キマグレン	2	5	7
20000009	バカサバイバー	ウルフルズ	2	6	8
20000010	Garden of Love	 	1	6	8
